PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
36572643,miR-297 inhibits expression of progesterone receptor and decidualization in eutopic endometria of endometriosis,"Liu T, Xiao L, Pei T, Luo B, Tan J, Long Y, Huang X, Ouyang Y, Huang W.",J Obstet Gynaecol Res. 2023 Mar;49(3):956-965. doi: 10.1111/jog.15526. Epub 2022 Dec 26.,Liu T,J Obstet Gynaecol Res,2023,2022/12/26,,,10.1111/jog.15526
36551866,Exosomes from the Uterine Cavity Mediate Immune Dysregulation via Inhibiting the JNK Signal Pathway in Endometriosis,"Jiang Y, Chai X, Chen S, Chen Z, Tian H, Liu M, Wu X.",Biomedicines. 2022 Dec 2;10(12):3110. doi: 10.3390/biomedicines10123110.,Jiang Y,Biomedicines,2022,2022/12/23,PMC9775046,,10.3390/biomedicines10123110
36546578,"METTL3 is aberrantly expressed in endometriosis and suppresses proliferation, invasion, and migration of endometrial stromal cells",Zhang QC.,Kaohsiung J Med Sci. 2023 Mar;39(3):266-277. doi: 10.1002/kjm2.12626. Epub 2022 Dec 22.,Zhang QC,Kaohsiung J Med Sci,2023,2022/12/22,,,10.1002/kjm2.12626
36508036,LncRNA IGF2-AS promotes endometriosis progression through targeting miR-370-3p/IGF2 axis and activating PI3K/AKT/mTOR signaling pathway,"Jin X, Feng J, Cheng X.",J Assist Reprod Genet. 2022 Dec;39(12):2699-2710. doi: 10.1007/s10815-022-02638-2. Epub 2022 Dec 12.,Jin X,J Assist Reprod Genet,2022,2022/12/12,PMC9790843,,10.1007/s10815-022-02638-2
36427469,Knockdown of miR-150-5p reduces hypoxia-induced autophagy and epithelial-mesenchymal transition of endometriotic cells via regulating the PDCD4/NF-κB signaling pathway,"Chen ML, Fan L, Huang GR, Sun ZF.",Cytokine. 2023 Feb;162:156086. doi: 10.1016/j.cyto.2022.156086. Epub 2022 Nov 22.,Chen ML,Cytokine,2023,2022/11/25,,,10.1016/j.cyto.2022.156086
36424910,Saliva microRNA signature to diagnose endometriosis: A cost-effectiveness evaluation of the Endotest®,"Ferrier C, Bendifallah S, Suisse S, Dabi Y, Touboul C, Puchar A, Zarca K, Durand Zaleski I.",BJOG. 2023 Mar;130(4):396-406. doi: 10.1111/1471-0528.17348. Epub 2022 Dec 19.,Ferrier C,BJOG,2023,2022/11/25,,,10.1111/1471-0528.17348
36423858,microRNA-100 shuttled by human umbilical cord MSC-secreted extracellular vesicles induces endometriosis by inhibiting HS3ST2,"Zhang F, Li F, Lu J.",Cell Signal. 2023 Feb;102:110532. doi: 10.1016/j.cellsig.2022.110532. Epub 2022 Nov 22.,Zhang F,Cell Signal,2023,2022/11/24,,,10.1016/j.cellsig.2022.110532
36411203,Endometriosis-associated infertility diagnosis based on saliva microRNA signatures,"Dabi Y, Suisse S, Puchar A, Delbos L, Poilblanc M, Descamps P, Haury J, Golfier F, Jornea L, Bouteiller D, Touboul C, Daraï E, Bendifallah S.",Reprod Biomed Online. 2023 Jan;46(1):138-149. doi: 10.1016/j.rbmo.2022.09.019. Epub 2022 Sep 27.,Dabi Y,Reprod Biomed Online,2023,2022/11/21,,,10.1016/j.rbmo.2022.09.019
36381355,Metformin as a potential agent for modulating the faulty endometriotic mesenchymal stem cells: A case-control study,"Mashayekhi P, Noruzinia M, Khodaverdi S.",Int J Reprod Biomed. 2022 Nov 2;20(10):861-872. doi: 10.18502/ijrm.v20i10.12270. eCollection 2022 Oct.,Mashayekhi P,Int J Reprod Biomed,2022,2022/11/16,PMC9644643,,10.18502/ijrm.v20i10.12270
36377220,Effect of PLGA Nanoparticle-Mediated Delivery of miRNA 503 on The Apoptosis of Ovarian Endometriosis Cells,"Chaichian S, Mehdizadeh Kashi A, Tehermanesh K, Pirhajati Mahabadi V, Minaeian S, Eslahi N.",Cell J. 2022 Nov 2;24(11):697-704. doi: 10.22074/cellj.2022.557554.1069.,Chaichian S,Cell J,2022,2022/11/15,PMC9663963,,10.22074/cellj.2022.557554.1069
36375526,Non-invasive diagnosis of endometriosis: Immunologic and genetic markers,"Moein Mahini S, Younesi M, Mortazavi G, Samare-Najaf M, Karim Azadbakht M, Jamali N.",Clin Chim Acta. 2023 Jan 1;538:70-86. doi: 10.1016/j.cca.2022.11.013. Epub 2022 Nov 12.,Moein Mahini S,Clin Chim Acta,2023,2022/11/14,,,10.1016/j.cca.2022.11.013
36355359,Role of ceRNAs in non-tumor female reproductive diseases†,"Yang Y, Xiong Y, Pan Z.",Biol Reprod. 2023 Mar 13;108(3):363-381. doi: 10.1093/biolre/ioac200.,Yang Y,Biol Reprod,2023,2022/11/10,,,10.1093/biolre/ioac200
36289820,MicroRNAs Dysregulation as Potential Biomarkers for Early Diagnosis of Endometriosis,"Ghasemi F, Alemzadeh E, Allahqoli L, Alemzadeh E, Mazidimoradi A, Salehiniya H, Alkatout I.",Biomedicines. 2022 Oct 13;10(10):2558. doi: 10.3390/biomedicines10102558.,Ghasemi F,Biomedicines,2022,2022/10/27,PMC9599310,,10.3390/biomedicines10102558
36281935,Long non‑coding RNA LINC01960‑201 hinders decidualization of endometrial stromal cell in endometriosis: Relevance to endometrial receptivity,"Cai H, Lang J.",Mol Med Rep. 2022 Dec;26(6):366. doi: 10.3892/mmr.2022.12883. Epub 2022 Oct 25.,Cai H,Mol Med Rep,2022,2022/10/25,,,10.3892/mmr.2022.12883
36263059,Deficiency of MST1 in endometriosis related peritoneal macrophages promoted the autophagy of ectopic endometrial stromal cells by IL-10,"Huang Y, Yan S, Dong X, Jiao X, Wang S, Li D, Wang G.",Front Immunol. 2022 Oct 3;13:993788. doi: 10.3389/fimmu.2022.993788. eCollection 2022.,Huang Y,Front Immunol,2022,2022/10/20,PMC9575673,,10.3389/fimmu.2022.993788
36262826,LncRNA BANCR Promotes Endometrial Stromal Cell Proliferation and Invasion in Endometriosis via the miR-15a-5p/TRIM59 Axis,"Liu L, Bai R, Li D, Dai B, Tuo Y.",Int J Genomics. 2022 Oct 10;2022:9083822. doi: 10.1155/2022/9083822. eCollection 2022.,Liu L,Int J Genomics,2022,2022/10/20,PMC9576446,,10.1155/2022/9083822
36244127,miRNA-223 expression in patient-derived eutopic and ectopic endometrial stromal cells and its effect on epithelial-to-mesenchymal transition in endometriosis,"Xue Y, Lin X, Shi T, Tian Y.",Clinics (Sao Paulo). 2022 Oct 13;77:100112. doi: 10.1016/j.clinsp.2022.100112. eCollection 2022.,Xue Y,Clinics (Sao Paulo),2022,2022/10/16,PMC9579502,,10.1016/j.clinsp.2022.100112
36212136,Identification of functional TF-miRNA-hub gene regulatory network associated with ovarian endometriosis,"Li L, Sun B, Sun Y.",Front Genet. 2022 Sep 20;13:998417. doi: 10.3389/fgene.2022.998417. eCollection 2022.,Li L,Front Genet,2022,2022/10/10,PMC9540245,,10.3389/fgene.2022.998417
36191723,"Regulation of progesterone receptor expression in endometriosis, endometrial cancer, and breast cancer by estrogen, polymorphisms, transcription factors, epigenetic alterations, and ubiquitin-proteasome system","Pu H, Wen X, Luo D, Guo Z.",J Steroid Biochem Mol Biol. 2023 Mar;227:106199. doi: 10.1016/j.jsbmb.2022.106199. Epub 2022 Sep 30.,Pu H,J Steroid Biochem Mol Biol,2023,2022/10/3,,,10.1016/j.jsbmb.2022.106199
36165640,Integrated analysis identified novel miRNAs and mRNA in endometriosis,"Ma H, Sun X, Wang Y, Tian H, Lao K, Yan J, Diao X.",Ginekol Pol. 2022 Sep 27. doi: 10.5603/GP.a2022.0078. Online ahead of print.,Ma H,Ginekol Pol,2022,2022/9/27,,,10.5603/GP.a2022.0078
36147505,A review on the importance of miRNA-135 in human diseases,"Kadkhoda S, Eslami S, Mahmud Hussen B, Ghafouri-Fard S.",Front Genet. 2022 Sep 6;13:973585. doi: 10.3389/fgene.2022.973585. eCollection 2022.,Kadkhoda S,Front Genet,2022,2022/9/23,PMC9486161,,10.3389/fgene.2022.973585
36143357,Roles of microRNAs in Regulating Apoptosis in the Pathogenesis of Endometriosis,"Azam INA, Wahab NA, Mokhtar MH, Shafiee MN, Mokhtar NM.",Life (Basel). 2022 Aug 26;12(9):1321. doi: 10.3390/life12091321.,Azam INA,Life (Basel),2022,2022/9/23,PMC9500848,,10.3390/life12091321
36044630,Rhein inhibits endometriosis by targeting microRNA-135,"Dan W, En Jing Z, Juan J, Yi Y, Yi Ling J.",Acta Biochim Pol. 2022 Aug 31;69(3):593-597. doi: 10.18388/abp.2020_5935.,Dan W,Acta Biochim Pol,2022,2022/8/31,,,10.18388/abp.2020_5935
36009038,Hsa-mir-135a Shows Potential as A Putative Diagnostic Biomarker in Saliva and Plasma for Endometriosis,"Perricos A, Proestling K, Husslein H, Kuessel L, Hudson QJ, Wenzl R, Yotova I.",Biomolecules. 2022 Aug 19;12(8):1144. doi: 10.3390/biom12081144.,Perricos A,Biomolecules,2022,2022/8/26,PMC9405570,,10.3390/biom12081144
35996508,"MicroRNA Variants miR-27a rs895819 and miR-423 rs6505162, but not miR-124-1 rs531564, are Linked to Endometriosis and its Severity","Jaafar SO, Jaffar JO, Ibrahim SA, Jarjees KK.",Br J Biomed Sci. 2022 Jan 7;79:10207. doi: 10.3389/bjbs.2021.10207. eCollection 2022.,Jaafar SO,Br J Biomed Sci,2022,2022/8/23,PMC8915672,,10.3389/bjbs.2021.10207
35985520,Identification of potential repurposed drugs for treating endometriosis-associated infertility among women,"Nayak R, Chattopadhyay T, Mallick B.",Chem Biol Interact. 2022 Sep 25;365:110110. doi: 10.1016/j.cbi.2022.110110. Epub 2022 Aug 17.,Nayak R,Chem Biol Interact,2022,2022/8/19,,,10.1016/j.cbi.2022.110110
35984026,The Use of Machine Learning in MicroRNA Diagnostics: Current Perspectives,"Christou CD, Mitsas AC, Vlachavas I, Tsoulfas G.",Microrna. 2022;11(3):175-184. doi: 10.2174/2211536611666220818145553.,Christou CD,Microrna,2022,2022/8/19,,,10.2174/2211536611666220818145553
35977804,Identification of miR-34-3p as a candidate follicular phase serum marker for endometriosis: a pilot study,"Neuhausser WM, Faure-Kumar E, Mahurkar-Joshi S, Iliopoulos D, Sakkas D.",F S Sci. 2022 Aug;3(3):269-278. doi: 10.1016/j.xfss.2022.02.005. Epub 2022 Feb 18.,Neuhausser WM,F S Sci,2022,2022/8/17,,,10.1016/j.xfss.2022.02.005
35970002,Evaluation of the relationship between miR-1271 and GRB2 gene in endometriosis,"Yarahmadi G, Fazeli J, Dehghanian M, Mehrjardi MYV, Javaheri A, Kalantar SM.",Eur J Obstet Gynecol Reprod Biol. 2022 Oct;277:12-15. doi: 10.1016/j.ejogrb.2022.08.007. Epub 2022 Aug 11.,Yarahmadi G,Eur J Obstet Gynecol Reprod Biol,2022,2022/8/15,,,10.1016/j.ejogrb.2022.08.007
35944745,Effects of selective inhibition of prostaglandin E2 receptors EP2 and EP4 on the miRNA profile in endometriosis,"Arosh JA, Sivakumar KK, Lee J, Banu SK.",Mol Cell Endocrinol. 2022 Dec 1;558:111728. doi: 10.1016/j.mce.2022.111728. Epub 2022 Aug 6.,Arosh JA,Mol Cell Endocrinol,2022,2022/8/9,,,10.1016/j.mce.2022.111728
35902026,Overexpressed miR-106b-5p promotes epithelial-mesenchymal transition in endometriosis by targeting PTEN,"Hu F, Wang Y, Wu X, Liu S, Ren H, Zhou W.",Reprod Toxicol. 2022 Oct;113:62-70. doi: 10.1016/j.reprotox.2022.07.007. Epub 2022 Jul 25.,Hu F,Reprod Toxicol,2022,2022/7/28,,,10.1016/j.reprotox.2022.07.007
35901619,MALAT1 accelerates proliferation and inflammation and suppresses apoptosis of endometrial stromal cells via the microRNA-142-3p/CXCR7 axis,"Tan K, Mo H, Guo L, Wang B.",Reprod Biol. 2022 Sep;22(3):100675. doi: 10.1016/j.repbio.2022.100675. Epub 2022 Jul 25.,Tan K,Reprod Biol,2022,2022/7/28,,,10.1016/j.repbio.2022.100675
35901079,"Genetic variations in UCA1, a lncRNA functioning as a miRNA sponge, determine endometriosis development and the potential associated infertility via regulating lipogenesis","Chang CY, Yang L, Tse J, Lo LC, Tseng CC, Sun L, Lai MT, Chen PH, Hwang T, Chen CM, Tsai FJ, Sheu JJ.",PLoS One. 2022 Jul 28;17(7):e0271616. doi: 10.1371/journal.pone.0271616. eCollection 2022.,Chang CY,PLoS One,2022,2022/7/28,PMC9333278,,10.1371/journal.pone.0271616
35895963,Endometriosis biomarkers of the disease: an update,"Encalada Soto D, Rassier S, Green IC, Burnett T, Khan Z, Cope A.",Curr Opin Obstet Gynecol. 2022 Aug 1;34(4):210-219. doi: 10.1097/GCO.0000000000000798.,Encalada Soto D,Curr Opin Obstet Gynecol,2022,2022/7/27,,,10.1097/GCO.0000000000000798
35887822,Pathogenesis of Human Adenomyosis: Current Understanding and Its Association with Infertility,"Khan KN, Fujishita A, Mori T.",J Clin Med. 2022 Jul 13;11(14):4057. doi: 10.3390/jcm11144057.,Khan KN,J Clin Med,2022,2022/7/27,PMC9316454,,10.3390/jcm11144057
35887388,A Bioinformatics Approach to MicroRNA-Sequencing Analysis Based on Human Saliva Samples of Patients with Endometriosis,"Bendifallah S, Dabi Y, Suisse S, Jornea L, Bouteiller D, Touboul C, Puchar A, Daraï E.",Int J Mol Sci. 2022 Jul 21;23(14):8045. doi: 10.3390/ijms23148045.,Bendifallah S,Int J Mol Sci,2022,2022/7/27,PMC9317484,,10.3390/ijms23148045
35876135,Integrated bioinformatic analysis of dysregulated microRNA-mRNA co-expression network in ovarian endometriosis,"Liu Y, Fan L, Jin L, Lu C, Li T, Zhang Z, Xie C, Li S, Zhang Y, Ren J, Lu D.",Acta Obstet Gynecol Scand. 2022 Oct;101(10):1074-1084. doi: 10.1111/aogs.14430. Epub 2022 Jul 25.,Liu Y,Acta Obstet Gynecol Scand,2022,2022/7/25,PMC9812100,,10.1111/aogs.14430
35799021,"mRNA, lncRNA and Circular RNA Expression Profiles in Granulosa Cells of Infertile Women with Ovarian Endometriosis","Guo J, Zeng H, Li T, Liang X, Peng J.",Reprod Sci. 2022 Oct;29(10):2937-2946. doi: 10.1007/s43032-022-00966-3. Epub 2022 Jul 7.,Guo J,Reprod Sci,2022,2022/7/7,,,10.1007/s43032-022-00966-3
35796227,Anti-oxidant effect of metformin through AMPK/SIRT1/PGC-1α/SIRT3- independent GPx1 expression in the heart of mice with endometriosis,"Felgueiras R, Neto AC, Rodrigues AR, Gouveia AM, Almeida H, Neves D.",Horm Mol Biol Clin Investig. 2022 Jul 7;43(4):405-414. doi: 10.1515/hmbci-2022-0039. eCollection 2022 Dec 1.,Felgueiras R,Horm Mol Biol Clin Investig,2022,2022/7/7,,,10.1515/hmbci-2022-0039
35717759,"Circ_0004712 promotes endometriotic epithelial cell proliferation, migration and invasion by regulating miR-488-3p/ROCK1 axis in vitro","Xu K, Chen Y, Li S, Chen L, Huang X.",Reprod Biol. 2022 Sep;22(3):100667. doi: 10.1016/j.repbio.2022.100667. Epub 2022 Jun 17.,Xu K,Reprod Biol,2022,2022/6/19,,,10.1016/j.repbio.2022.100667
35708784,"Silencing of circ_0007299 suppresses proliferation, migration, and invasiveness and promotes apoptosis of ectopic endometrial stromal cells in endometriosis via miR-424-5p-dependent modulation of CREB1","Mao H, Zhang X, Yin L, Ji X, Huang C, Wu Q.",Arch Gynecol Obstet. 2023 Jan;307(1):149-161. doi: 10.1007/s00404-022-06650-w. Epub 2022 Jun 16.,Mao H,Arch Gynecol Obstet,2023,2022/6/16,,,10.1007/s00404-022-06650-w
35682889,MicroRNAs in the Regulation of Endometrial Receptivity for Embryo Implantation,"Shekibi M, Heng S, Nie G.",Int J Mol Sci. 2022 Jun 1;23(11):6210. doi: 10.3390/ijms23116210.,Shekibi M,Int J Mol Sci,2022,2022/6/10,PMC9181585,,10.3390/ijms23116210
35682544,"The Relationship and Expression of miR-451a, miR-25-3p and PTEN in Early Peritoneal Endometriotic Lesions and Their Modulation In Vitro","Nothnick WB, Peterson R, Minchella P, Falcone T, Graham A, Findley A.",Int J Mol Sci. 2022 May 24;23(11):5862. doi: 10.3390/ijms23115862.,Nothnick WB,Int J Mol Sci,2022,2022/6/10,PMC9180609,,10.3390/ijms23115862
35601407,Exploration of the Shared Gene and Molecular Mechanisms Between Endometriosis and Recurrent Pregnancy Loss,"Ye Z, Meng Q, Zhang W, He J, Zhao H, Yu C, Liang W, Li X, Wang H.",Front Vet Sci. 2022 May 6;9:867405. doi: 10.3389/fvets.2022.867405. eCollection 2022.,Ye Z,Front Vet Sci,2022,2022/5/23,PMC9120926,,10.3389/fvets.2022.867405
35587747,"miR-203a-3p, ABL1 and TP63 gene expression is altered in the endometrium of women with endometriosis","Pashaei M, Mashayekhi F, Zahiri Z, Salehi Z.",Gynecol Endocrinol. 2022 Jul;38(7):603-607. doi: 10.1080/09513590.2022.2076830. Epub 2022 May 19.,Pashaei M,Gynecol Endocrinol,2022,2022/5/19,,,10.1080/09513590.2022.2076830
35563053,miR 31-3p Has the Highest Expression in Cesarean Scar Endometriosis,"Szubert M, Nowak-Glück A, Domańska-Senderowska D, Szymańska B, Sowa P, Rycerz A, Wilczyński JR.",Int J Mol Sci. 2022 Apr 22;23(9):4660. doi: 10.3390/ijms23094660.,Szubert M,Int J Mol Sci,2022,2022/5/14,PMC9105608,,10.3390/ijms23094660
